File,X,Y,Z,6
000001.asc,-14,-14,0
000002.asc,-13,-14,0
000003.asc,-12,-14,0
000004.asc,-11,-14,0
000005.asc,-10,-14,0
000006.asc,-9,-14,0
000007.asc,-8,-14,0
000008.asc,-7,-14,0
000009.asc,-6,-14,0
000010.asc,-5,-14,0
000011.asc,-4,-14,0
000012.asc,-3,-14,0
000013.asc,-2,-14,0
000014.asc,-1,-14,0
000015.asc,0,-14,0
000016.asc,1,-14,0
000017.asc,2,-14,0
000018.asc,3,-14,0
000019.asc,4,-14,0
000020.asc,5,-14,0
000021.asc,6,-14,0
000022.asc,7,-14,0
000023.asc,8,-14,0
000024.asc,9,-14,0
000025.asc,10,-14,0
000026.asc,11,-14,0
000027.asc,12,-14,0
000028.asc,13,-14,0
000029.asc,14,-14,0
000030.asc,-14,-13,0
000031.asc,-13,-13,0
000032.asc,-12,-13,0
000033.asc,-11,-13,0
000034.asc,-10,-13,0
000035.asc,-9,-13,0
000036.asc,-8,-13,0
000037.asc,-7,-13,0
000038.asc,-6,-13,0
000039.asc,-5,-13,0
000040.asc,-4,-13,0
000041.asc,-3,-13,0
000042.asc,-2,-13,0
000043.asc,-1,-13,0
000044.asc,0,-13,0
000045.asc,1,-13,0
000046.asc,2,-13,0
000047.asc,3,-13,0
000048.asc,4,-13,0
000049.asc,5,-13,0
000050.asc,6,-13,0
000051.asc,7,-13,0
000052.asc,8,-13,0
000053.asc,9,-13,0
000054.asc,10,-13,0
000055.asc,11,-13,0
000056.asc,12,-13,0
000057.asc,13,-13,0
000058.asc,14,-13,0
000059.asc,-14,-12,0
000060.asc,-13,-12,0
000061.asc,-12,-12,0
000062.asc,-11,-12,0
000063.asc,-10,-12,0
000064.asc,-9,-12,0
000065.asc,-8,-12,0
000066.asc,-7,-12,0
000067.asc,-6,-12,0
000068.asc,-5,-12,0
000069.asc,-4,-12,0
000070.asc,-3,-12,0
000071.asc,-2,-12,0
000072.asc,-1,-12,0
000073.asc,0,-12,0
000074.asc,1,-12,0
000075.asc,2,-12,0
000076.asc,3,-12,0
000077.asc,4,-12,0
000078.asc,5,-12,0
000079.asc,6,-12,0
000080.asc,7,-12,0
000081.asc,8,-12,0
000082.asc,9,-12,0
000083.asc,10,-12,0
000084.asc,11,-12,0
000085.asc,12,-12,0
000086.asc,13,-12,0
000087.asc,14,-12,0
000088.asc,-14,-11,0
000089.asc,-13,-11,0
000090.asc,-12,-11,0
000091.asc,-11,-11,0
000092.asc,-10,-11,0
000093.asc,-9,-11,0
000094.asc,-8,-11,0
000095.asc,-7,-11,0
000096.asc,-6,-11,0
000097.asc,-5,-11,0
000098.asc,-4,-11,0
000099.asc,-3,-11,0
000100.asc,-2,-11,0
000101.asc,-1,-11,0
000102.asc,0,-11,0
000103.asc,1,-11,0
000104.asc,2,-11,0
000105.asc,3,-11,0
000106.asc,4,-11,0
000107.asc,5,-11,0
000108.asc,6,-11,0
000109.asc,7,-11,0
000110.asc,8,-11,0
000111.asc,9,-11,0
000112.asc,10,-11,0
000113.asc,11,-11,0
000114.asc,12,-11,0
000115.asc,13,-11,0
000116.asc,14,-11,0
000117.asc,-14,-10,0
000118.asc,-13,-10,0
000119.asc,-12,-10,0
000120.asc,-11,-10,0
000121.asc,-10,-10,0
000122.asc,-9,-10,0
000123.asc,-8,-10,0
000124.asc,-7,-10,0
000125.asc,-6,-10,0
000126.asc,-5,-10,0
000127.asc,-4,-10,0
000128.asc,-3,-10,0
000129.asc,-2,-10,0
000130.asc,-1,-10,0
000131.asc,0,-10,0
000132.asc,1,-10,0
000133.asc,2,-10,0
000134.asc,3,-10,0
000135.asc,4,-10,0
000136.asc,5,-10,0
000137.asc,6,-10,0
000138.asc,7,-10,0
000139.asc,8,-10,0
000140.asc,9,-10,0
000141.asc,10,-10,0
000142.asc,11,-10,0
000143.asc,12,-10,0
000144.asc,13,-10,0
000145.asc,14,-10,0
000146.asc,-14,-9,0
000147.asc,-13,-9,0
000148.asc,-12,-9,0
000149.asc,-11,-9,0
000150.asc,-10,-9,0
000151.asc,-9,-9,0
000152.asc,-8,-9,0
000153.asc,-7,-9,0
000154.asc,-6,-9,0
000155.asc,-5,-9,0
000156.asc,-4,-9,0
000157.asc,-3,-9,0
000158.asc,-2,-9,0
000159.asc,-1,-9,0
000160.asc,0,-9,0
000161.asc,1,-9,0
000162.asc,2,-9,0
000163.asc,3,-9,0
000164.asc,4,-9,0
000165.asc,5,-9,0
000166.asc,6,-9,0
000167.asc,7,-9,0
000168.asc,8,-9,0
000169.asc,9,-9,0
000170.asc,10,-9,0
000171.asc,11,-9,0
000172.asc,12,-9,0
000173.asc,13,-9,0
000174.asc,14,-9,0
000175.asc,-14,-8,0
000176.asc,-13,-8,0
000177.asc,-12,-8,0
000178.asc,-11,-8,0
000179.asc,-10,-8,0
000180.asc,-9,-8,0
000181.asc,-8,-8,0
000182.asc,-7,-8,0
000183.asc,-6,-8,0
000184.asc,-5,-8,0
000185.asc,-4,-8,0
000186.asc,-3,-8,0
000187.asc,-2,-8,0
